# V_PS_R,V_LED_R,I_R,V_PS_Y,V_LED_Y,I_Y,V_PS_G,V_LED_G,I_G,V_PS_B,V_LED_B,I_B,V_PS_W,V_LED_W,I_W
0.003,0.003,0.000,0.003,0.003,0.000,0.003,0.003,0.000,0.003,0.002,0.000,0.003,0.003,0.000
0.103,0.104,-0.000,0.103,0.103,0.000,0.103,0.103,0.000,0.103,0.103,0.000,0.103,0.102,0.000
0.205,0.205,0.000,0.205,0.204,0.000,0.205,0.204,0.000,0.205,0.204,0.000,0.205,0.204,0.000
0.305,0.305,0.000,0.305,0.305,0.000,0.305,0.305,0.000,0.305,0.305,0.000,0.305,0.304,0.000
0.407,0.407,0.000,0.407,0.407,0.000,0.407,0.407,0.000,0.407,0.406,0.000,0.407,0.406,0.000
0.507,0.507,0.000,0.507,0.507,0.000,0.507,0.507,0.000,0.507,0.506,0.000,0.507,0.506,0.000
0.609,0.608,0.000,0.609,0.608,0.000,0.609,0.609,0.000,0.609,0.608,0.000,0.609,0.608,0.000
0.709,0.709,0.000,0.709,0.708,0.000,0.709,0.708,0.000,0.709,0.708,0.000,0.709,0.708,0.000
0.811,0.811,0.000,0.811,0.811,0.000,0.811,0.811,0.000,0.811,0.810,0.000,0.811,0.810,0.000
0.911,0.911,0.000,0.911,0.910,0.000,0.911,0.911,0.000,0.911,0.910,0.000,0.911,0.910,0.000
1.013,1.013,0.000,1.013,1.012,0.000,1.013,1.013,0.000,1.013,1.012,0.000,1.013,1.012,0.000
1.113,1.113,0.000,1.113,1.113,0.000,1.113,1.113,0.000,1.113,1.112,0.000,1.113,1.112,0.000
1.215,1.215,0.000,1.215,1.215,0.000,1.215,1.215,0.000,1.215,1.214,0.000,1.215,1.214,0.000
1.315,1.315,0.000,1.315,1.314,0.000,1.315,1.315,0.000,1.315,1.314,0.000,1.315,1.314,0.000
1.417,1.417,0.000,1.417,1.416,0.000,1.417,1.416,0.000,1.417,1.416,0.000,1.417,1.416,0.000
1.517,1.517,0.000,1.517,1.516,0.000,1.517,1.517,0.000,1.517,1.516,0.000,1.517,1.516,0.000
1.619,1.616,0.000,1.619,1.618,0.000,1.619,1.619,0.000,1.619,1.618,0.000,1.619,1.618,0.000
1.719,1.702,0.000,1.719,1.713,0.000,1.719,1.718,0.000,1.719,1.718,0.000,1.719,1.718,0.000
1.821,1.762,0.000,1.821,1.793,0.000,1.821,1.820,0.000,1.821,1.820,0.000,1.821,1.820,0.000
1.921,1.800,0.000,1.921,1.844,0.000,1.921,1.921,0.000,1.921,1.920,0.000,1.921,1.920,0.000
2.023,1.830,0.001,2.023,1.879,0.000,2.023,2.021,0.000,2.023,2.022,0.000,2.023,2.022,0.000
2.123,1.855,0.001,2.123,1.907,0.001,2.123,2.116,0.000,2.123,2.122,0.000,2.123,2.122,0.000
2.225,1.877,0.001,2.225,1.931,0.001,2.225,2.187,0.000,2.225,2.224,0.000,2.225,2.224,0.000
2.325,1.897,0.001,2.325,1.952,0.001,2.325,2.232,0.000,2.325,2.324,0.000,2.325,2.324,0.000
2.427,1.917,0.002,2.427,1.972,0.001,2.427,2.266,0.000,2.427,2.421,0.000,2.427,2.425,0.000
2.527,1.935,0.002,2.527,1.991,0.002,2.527,2.293,0.001,2.527,2.492,0.000,2.527,2.515,0.000
2.629,1.953,0.002,2.629,2.008,0.002,2.629,2.318,0.001,2.629,2.531,0.000,2.629,2.573,0.000
2.729,1.970,0.002,2.729,2.025,0.002,2.729,2.341,0.001,2.729,2.555,0.001,2.729,2.605,0.000
2.831,1.987,0.003,2.831,2.042,0.002,2.831,2.362,0.001,2.831,2.574,0.001,2.831,2.627,0.001
2.931,2.003,0.003,2.931,2.058,0.003,2.931,2.382,0.002,2.931,2.590,0.001,2.931,2.643,0.001
3.033,2.019,0.003,3.033,2.074,0.003,3.033,2.402,0.002,3.033,2.604,0.001,3.033,2.657,0.001
3.133,2.034,0.003,3.133,2.089,0.003,3.133,2.420,0.002,3.133,2.616,0.002,3.133,2.670,0.001
3.234,2.050,0.004,3.234,2.104,0.003,3.234,2.439,0.002,3.234,2.628,0.002,3.234,2.681,0.002
3.335,2.064,0.004,3.335,2.118,0.004,3.335,2.456,0.003,3.335,2.638,0.002,3.335,2.691,0.002
3.436,2.078,0.004,3.436,2.134,0.004,3.436,2.473,0.003,3.436,2.648,0.002,3.436,2.701,0.002
3.537,2.093,0.004,3.537,2.148,0.004,3.537,2.489,0.003,3.537,2.658,0.003,3.537,2.710,0.003
3.638,2.107,0.005,3.638,2.163,0.004,3.638,2.506,0.003,3.638,2.668,0.003,3.638,2.719,0.003
3.739,2.120,0.005,3.739,2.178,0.005,3.739,2.522,0.004,3.739,2.677,0.003,3.739,2.727,0.003
3.840,2.133,0.005,3.840,2.193,0.005,3.840,2.538,0.004,3.840,2.685,0.004,3.840,2.735,0.003
3.940,2.145,0.005,3.940,2.208,0.005,3.940,2.553,0.004,3.940,2.694,0.004,3.940,2.742,0.004
4.042,2.160,0.006,4.042,2.222,0.006,4.042,2.568,0.004,4.042,2.702,0.004,4.042,2.750,0.004
4.142,2.172,0.006,4.142,2.237,0.006,4.142,2.582,0.005,4.142,2.710,0.004,4.142,2.757,0.004
4.243,2.185,0.006,4.243,2.252,0.006,4.243,2.597,0.005,4.243,2.718,0.005,4.243,2.764,0.004
4.344,2.198,0.007,4.344,2.267,0.006,4.344,2.611,0.005,4.344,2.726,0.005,4.344,2.771,0.005
